iter	Passed	Remaining
298	16854	16967
299	16913	16913
300	16969	16856
301	17027	16802
302	17085	16746
303	17135	16684
304	17195	16631
305	17246	16570
306	17298	16509
307	17354	16453
308	17407	16393
309	17456	16330
310	17510	16271
311	17566	16215
312	17625	16161
313	17683	16106
314	17742	16052
315	17793	15991
316	17846	15932
317	17899	15873
318	17954	15815
319	18005	15754
320	18058	15695
321	18118	15642
322	18171	15583
323	18225	15525
324	18281	15469
325	18332	15408
326	18394	15356
327	18451	15301
328	18500	15239
329	18554	15181
330	18605	15120
331	18660	15063
332	18716	15006
333	18772	14950
334	18830	14895
335	18882	14836
336	18932	14775
337	18987	14717
338	19042	14660
339	19090	14598
340	19136	14534
341	19182	14471
342	19231	14409
343	19276	14344
344	19321	14281
345	19365	14216
346	19419	14158
347	19469	14098
348	19519	14038
349	19568	13977
350	19625	13922
351	19683	13868
352	19743	13814
353	19796	13756
354	19850	13699
355	19906	13643
356	19963	13588
357	20018	13532
358	20068	13472
359	20127	13418
360	20182	13361
361	20238	13305
362	20294	13250
363	20352	13195
364	20405	13137
365	20463	13083
366	20516	13025
367	20577	12972
368	20629	12914
369	20682	12856
370	20741	12802
371	20794	12744
372	20851	12689
373	20912	12636
374	20968	12581
375	21025	12525
376	21078	12468
377	21130	12410
378	21188	12355
379	21244	12299
380	21296	12241
381	21349	12183
382	21413	12132
383	21469	12076
384	21524	12019
385	21574	11960
386	21627	11903
387	21687	11850
388	21738	11791
389	21792	11734
390	21846	11677
391	21899	11620
392	21949	11561
393	22004	11504
394	22060	11449
395	22113	11391
396	22165	11334
397	22216	11275
398	22268	11218
399	22319	11159
400	22375	11103
401	22426	11045
402	22485	10991
403	22540	10935
404	22597	10880
405	22649	10822
406	22702	10765
407	22755	10708
408	22809	10651
409	22865	10596
410	22923	10541
411	22977	10484
412	23032	10428
413	23086	10372
414	23137	10314
415	23186	10255
416	23241	10199
417	23298	10144
418	23355	10089
419	23403	10029
420	23455	9972
421	23512	9917
422	23571	9863
423	23627	9807
424	23682	9751
425	23745	9698
426	23795	9640
427	23849	9584
428	23901	9527
429	23958	9472
430	24013	9415
431	24067	9359
432	24126	9305
433	24180	9248
434	24235	9192
435	24288	9136
436	24346	9081
437	24397	9023
438	24454	8968
439	24509	8912
440	24560	8855
441	24615	8799
442	24672	8743
443	24726	8687
444	24776	8630
445	24829	8573
446	24893	8520
447	24944	8463
448	24996	8406
449	25053	8351
450	25105	8294
451	25157	8237
452	25214	8182
453	25270	8126
454	25325	8070
455	25381	8015
456	25434	7958
457	25483	7901
458	25538	7845
459	25592	7789
460	25652	7734
461	25705	7678
462	25756	7621
463	25811	7565
464	25865	7509
465	25920	7453
466	25984	7400
467	26040	7344
468	26094	7288
469	26146	7231
470	26200	7175
471	26253	7119
472	26315	7065
473	26367	7009
474	26419	6952
475	26468	6895
476	26525	6839
477	26580	6784
478	26641	6729
479	26691	6672
480	26744	6616
481	26801	6561
482	26850	6504
483	26902	6447
484	26964	6393
485	27027	6339
486	27088	6285
487	27146	6230
488	27197	6173
489	27250	6117
490	27303	6061
491	27360	6005
492	27416	5950
493	27465	5893
494	27525	5838
495	27577	5782
496	27629	5726
497	27687	5670
498	27738	5614
499	27797	5559
500	27846	5502
501	27898	5446
502	27950	5389
503	28008	5334
504	28066	5279
505	28117	5223
506	28172	5167
507	28226	5111
508	28278	5055
509	28334	5000
510	28389	4944
511	28440	4888
512	28494	4832
513	28555	4777
514	28612	4722
515	28672	4667
516	28722	4611
517	28778	4555
518	28826	4498
519	28884	4443
520	28939	4388
521	28992	4332
522	29050	4277
523	29100	4220
524	29151	4164
525	29203	4108
526	29253	4052
527	29304	3996
528	29357	3940
529	29407	3883
530	29457	3827
531	29506	3771
532	29553	3715
533	29607	3659
534	29664	3604
535	29719	3548
536	29774	3493
537	29825	3437
538	29884	3382
539	29946	3327
540	29998	3271
541	30051	3215
542	30113	3161
543	30165	3105
544	30218	3049
545	30270	2993
546	30323	2938
547	30374	2882
548	30430	2826
549	30487	2771
550	30540	2715
551	30594	2660
552	30650	2605
553	30699	2549
554	30751	2493
555	30812	2438
556	30872	2383
557	30932	2328
558	30983	2272
559	31035	2216
560	31094	2161
561	31146	2105
562	31210	2051
563	31260	1995
564	31316	1939
565	31371	1884
566	31420	1828
567	31473	1773
568	31523	1717
569	31571	1661
570	31624	1606
571	31678	1550
572	31731	1495
573	31790	1439
574	31842	1384
575	31874	1328
576	31930	1272
577	31978	1217
578	32030	1161
579	32081	1106
580	32127	1050
581	32178	995
582	32236	940
583	32287	884
584	32340	829
585	32388	773
586	32452	718
587	32506	663
588	32559	608
589	32610	552
590	32660	497
591	32720	442
592	32774	386
593	32828	331
594	32885	276
595	32938	221
596	32990	165
597	33052	110
598	33102	55
599	33158	0
